name,category,time
Adrian Dohotaru,Men,00:23:52
Mihail Chindris,Men,00:24:02
Ovidiu Negus,Men,00:24:10
Mircea Cristian,Men,00:24:27
Iuliu-Victor Grec,Men,00:24:43
Marius Hent,Men,00:25:01
Lucian Tamas,Men,00:25:21
Florin Ciufudean,Men,00:25:25
Ciprian Nedea,Men,00:25:38
Horatiu Neamtu,Men,00:25:49
Grezer Peter,Men,00:26:07
Ianco Slovak,Men,00:26:18
Adrian Salajan,Men,00:26:29
Razvan Olar,Men,00:27:01
Catalin Robu,Men,00:27:18
Andras  Jeno Gaspar,Men,00:27:51
Bogdan Balint,Men,00:27:55
Zsolt Szeles,Men,00:28:04
Ionut Golban,Men,00:28:05
Ibolya Torok,Women,00:28:10
Roxana Nagy,Women,00:28:11
Radu Terec,Men,00:28:20
Alexandru Ivanov,Men,00:28:21
Sergiu Filip,Men,00:28:23
Vlad-Radu Lazar,Men,00:29:04
Tiberiu Cristian Sanek,Men,00:29:07
Liviu Ichim,Men,00:29:11
Marian-Dorin Mikacs,Men,00:29:21
Valeria Alina Rusu,Women,00:29:23
Ilie Susca,Men,00:29:27
Cristian-Teodor Suciu,Men,00:29:27
Csaba Marton,Men,00:29:35
Adrian Salajan,Men,00:29:36
Daniel Timis,Men,00:29:38
Anca Hategan,Women,00:29:46
Bogdan Andrei Iasinovschi,Men,00:29:52
Radu Muntean,Men,00:29:52
Alexa Boga,Men,00:29:57
Teodor Vlad,Men,00:29:57
Elisei Natanael Moldovan,Men,00:29:57
Ion Gutanu,Men,00:30:09
Bogdan Hriscu,Men,00:30:10
George-Ovidiu Panaite,Men,00:30:11
Csaba Laszlo,Men,00:30:12
Bogdan Gondosch,Men,00:30:14
Mihai-Adrian Tomescu,Men,00:30:15
Robert-Zoltán Nagy,Men,00:30:28
Sergiu Barbu,Men,00:30:36
Claudiu Terec,Men,00:30:38
Iulian Moldovan,Men,00:30:40
Andrei Costea,Men,00:30:52
Elena Nistor,Women,00:30:56
Toni Damian,Men,00:30:57
Nicolae Godiac,Men,00:30:57
Radu Bogdan,Men,00:31:00
Szoreny Balogh,Men,00:31:02
Alexandru Mata,Men,00:31:05
Bogdan Petrovici,Men,00:31:10
Daniel Mihai,Men,00:31:15
Daniel Policsek,Men,00:31:32
Arthur Costea,Men,00:31:38
Cristian Eugen Lonhard,Men,00:31:38
Anton Balint,Men,00:31:39
Adrian Alexandru Popa,Men,00:31:45
Roland Szocs,Men,00:31:46
Zoltan Gundisch,Men,00:31:46
Adrian Indrei,Men,00:31:48
Andrian Anisoi,Men,00:31:50
Vilmos Gravuj,Men,00:31:50
Sebastian Botis,Men,00:31:55
Zoltan Csegezi,Men,00:31:58
Eugen Cosmin Cotora,Men,00:32:06
Victor Mihail Drobota,Men,00:32:10
Gheorghe-Alexandru Serdean,Men,00:32:14
Iulian Corunga,Men,00:32:18
Andrei Deac,Men,00:32:19
Ioan Ciprian Briscan,Men,00:32:23
Bogdan Tala,Men,00:32:24
Catalin Schuller,Men,00:32:25
Adrian Erdei,Men,00:32:26
Raul Sabau,Men,00:32:27
Flaviu Siminic,Men,00:32:27
Vasile Victor Lupu,Men,00:32:27
Daniel Nemes,Men,00:32:28
Camelia Reghini,Women,00:32:29
Petru Vornicu,Men,00:32:30
Razvan Heres,Men,00:32:31
Adrian Gruita,Men,00:32:32
Ecaterina Ciobanu,Women,00:32:34
Laurentia Donisa,Women,00:32:39
Cristian Aron,Men,00:32:42
Andrei Hardau,Men,00:32:43
Mihai Oprea,Men,00:32:48
Ioan Criste,Men,00:32:50
Sorin Cota,Men,00:32:51
Botond Kepes,Men,00:32:55
Ovidiu Bojan,Men,00:32:56
Florin Dehelean,Men,00:32:57
Alin Baciu,Men,00:32:58
Janos Eross,Men,00:32:59
Daniel Lupaescu,Men,00:33:01
Vasile Bota,Men,00:33:04
Othniel Visky,Men,00:33:09
Adrian Schiau,Men,00:33:10
Adrian Budaca,Men,00:33:10
Paul Herman,Men,00:33:11
Daniel Stan,Men,00:33:12
Paul Tudoran,Men,00:33:16
Bordean Darius,Men,00:33:17
Mihai Babau,Men,00:33:17
Andrei Horatiu Birlean,Men,00:33:19
Daniel Stepa,Men,00:33:19
Tudor Santejudean,Men,00:33:20
Andrei Istrate,Men,00:33:20
Dan Zaharie,Men,00:33:20
Andrei Betivu,Men,00:33:21
Bogdan Popa,Men,00:33:22
Silviu Maghear,Men,00:33:22
Alexandru Boboia,Men,00:33:23
Alexandru Gheorghe Ciui,Men,00:33:24
Paul Parau,Men,00:33:24
Alexandru Muresan,Men,00:33:28
Andrei Obreja,Men,00:33:34
Gabriel Carabat,Men,00:33:37
Aurelia Boga,Women,00:33:38
Gheorghe Lionte,Men,00:33:39
Daniel Roman,Men,00:33:39
Bogdan Vornicu,Men,00:33:42
George Stanciu,Men,00:33:42
Paul Ștefan,Men,00:33:46
Andreea Roxana Serban,Women,00:33:47
Ioana Cordea,Women,00:33:48
Dragoș Nicoară,Men,00:33:49
Ciprian Laurentiu,Men,00:33:50
Gabriel Cordovan,Men,00:33:51
Albert Zemba,Men,00:33:52
Csongor Guttmann,Men,00:33:52
Alin Ciuciu,Men,00:33:55
Nicolae Rus,Men,00:34:00
Florin Ghisa,Men,00:34:02
Daniel Homorodean,Men,00:34:03
Jenica Ciui,Women,00:34:03
Claudiu Onc,Men,00:34:03
Adela Cristina Vlad,Women,00:34:03
Sirio Di Paolo,Men,00:34:04
George Uatu,Men,00:34:04
Dragos Petcu,Men,00:34:05
Daniel Hordau,Men,00:34:08
Nicolae Nistor,Men,00:34:08
Mihai Campean,Men,00:34:09
Raluca Ardelean,Women,00:34:12
Tudor Avram,Men,00:34:12
Laura-Simona Varga,Women,00:34:14
Alina Dinuta,Women,00:34:14
Roland Kiss,Men,00:34:15
Raul Craciun,Men,00:34:16
Radu Mihai,Men,00:34:19
Tiberiu-Claudiu Dascal,Men,00:34:20
Lorant Szobo,Men,00:34:23
Stefan Ilie Ursu,Men,00:34:23
Daria Comes,Women,00:34:24
Alexandra Retegan,Women,00:34:25
Frank Schuberth,Men,00:34:26
Octavian Hort,Men,00:34:27
Alexandru Pantea,Men,00:34:31
Vasile Haiduc,Men,00:34:31
Paul Dalea,Men,00:34:31
Andrei Lucaci,Men,00:34:32
Isidor Grigoras,Men,00:34:32
Flaviu Mesesan,Men,00:34:33
Marius Pintican,Men,00:34:34
Madalin Mera,Men,00:34:35
Arpad Sebesi,Men,00:34:36
Serban Leoca,Men,00:34:37
Matyas Szekrenyes,Men,00:34:41
Zoltan Thalblum,Men,00:34:41
Muresan Daniel,Men,00:34:43
Andrei Parv,Men,00:34:43
Daniel Naste,Men,00:34:44
Ionut Ciolpan,Men,00:34:50
Mihai Bunda,Men,00:34:52
Doru Crisan,Men,00:34:52
Adrian Suteu,Men,00:34:55
Andrei Cheţan,Men,00:34:58
George Molnar,Men,00:34:59
Andrei Lucian Pascu,Men,00:34:59
Alfred Bartha,Men,00:35:00
Adrian Pop,Men,00:35:02
Liviu Gavrila,Men,00:35:02
Daniel Muresan,Men,00:35:04
Ioan Pintea,Men,00:35:04
Alin Asan,Men,00:35:06
Adrian Olar,Men,00:35:06
Alexandru-Ionut Tucudean,Men,00:35:07
Maria Svarisciuc,Women,00:35:11
Barbu Bujor,Men,00:35:11
Cristina Barbinta,Women,00:35:12
Radu-Alexandru Cosma,Men,00:35:14
Valentin Iacobhazi,Men,00:35:14
Paul Sebastian Doja,Men,00:35:14
Vasile Lucian Nemes,Men,00:35:15
Stefan Papp,Men,00:35:16
Norbert Nimerencu,Men,00:35:17
Maria Berindea,Women,00:35:17
Laszlo Rado,Men,00:35:17
Alexandru Coroian,Men,00:35:17
Cornelia-Nicoleta Marin,Women,00:35:21
Marius Vescan,Men,00:35:22
Elena Petricele,Women,00:35:22
Flaviu Turbutan,Men,00:35:22
Alin Pausan,Men,00:35:26
Szabo Csaba,Men,00:35:28
Paul Muresan,Men,00:35:29
Miguel Espinoza,Men,00:35:35
Ionut Dobra,Men,00:35:35
Brigitte Mild,Women,00:35:36
Teona Baciu,Women,00:35:36
Daniel Sturza,Men,00:35:36
Andrei Daniel Daraban,Men,00:35:38
Lorand Dobai,Men,00:35:38
Horia Pop,Men,00:35:38
Ana Girbea,Women,00:35:38
Felix Radu,Men,00:35:41
Attila Eros,Men,00:35:42
Voicu Stoica,Men,00:35:42
Mihail Cirtica,Men,00:35:43
Paul Cipcigan,Men,00:35:43
Anca Farcas,Women,00:35:44
George Sindilar,Men,00:35:45
Marius Vanca,Men,00:35:45
Rares Brandusan,Men,00:35:47
Cornel Marian,Men,00:35:47
Robert Cadar,Men,00:35:48
Andra Niculescu,Women,00:35:48
Cosmin Cenan,Men,00:35:48
Carmen Bonaci,Women,00:35:48
Marius Oprea,Men,00:35:49
Karoly Szoke,Men,00:35:49
Radu Petru Hangiu,Men,00:35:51
Eulolia Grigore,Women,00:35:53
Grigore Bota,Men,00:35:53
Rares Constantin Holota,Men,00:35:53
Daniel David,Men,00:35:54
Andras Mihaly,Men,00:35:55
Dorin Barbinta,Men,00:35:55
Helga Csepei,Women,00:35:55
Lorand Fagarasi,Men,00:35:56
Razvan Oprean,Men,00:35:57
Ada Mican,Women,00:35:58
Mihai Baba,Men,00:35:58
Oana Tarau,Women,00:36:05
Paul Satmarean,Men,00:36:07
Andrei Ilies,Men,00:36:07
Tudor Manica,Men,00:36:08
Catalina Serbu,Women,00:36:13
Cristian Zdroba,Men,00:36:16
Andrei Sabou,Men,00:36:16
Stefan Vaju,Men,00:36:18
Alin Flueras,Men,00:36:20
Alin Micu,Men,00:36:20
Andrei Ghiordun,Men,00:36:21
Timea Jozsa,Women,00:36:22
Calin Grigorovici,Men,00:36:22
Viorica Policsek,Women,00:36:24
Guillermo Lopez,Men,00:36:24
Daniel Prieto Duran,Men,00:36:25
Nicolae-Aurelian Oprean,Men,00:36:26
Adrian Cârcu,Men,00:36:32
Sorina Matean,Women,00:36:33
Brandusa Borza,Women,00:36:37
Marcel Catinas,Men,00:36:38
Vasile Fagadar,Men,00:36:38
Rares Gavris,Men,00:36:38
Serban Adrian Hopirca,Men,00:36:38
Monica Ghiurco,Women,00:36:38
Adrian Pop,Men,00:36:38
George-Nicolae Matei,Men,00:36:39
Vica Forogau,Women,00:36:39
Adela Avram,Women,00:36:41
Nikoletta Foris,Women,00:36:41
Ovidiu Nistor,Men,00:36:42
Bogdan Stancu,Men,00:36:45
Petruta Orosfoian,Women,00:36:47
Daniel Oprea,Men,00:36:49
Zoltan Stir,Men,00:36:54
Raul-Ciprian Constantea,Men,00:37:00
Marius Pomana,Men,00:37:03
Teodor - Andrei Ivanov,Men,00:37:05
Casian Marc,Men,00:37:06
Flaviu Lehene,Men,00:37:06
Florin Dan Chis,Men,00:37:07
Razvan Teslaru,Men,00:37:09
Horea-Traian Toloman,Men,00:37:10
Catalin Marginean,Men,00:37:10
Tudor Hornai,Men,00:37:12
Lorand Palfalvi,Men,00:37:12
Cristina Grivase,Women,00:37:12
Ramona Tod,Women,00:37:12
Olivia Bodea,Women,00:37:12
Stangu Ciprian,Men,00:37:13
Sebastian Rus,Men,00:37:13
Norbert Vajda,Men,00:37:17
Vasile Cordea,Men,00:37:17
Cornel Negru,Men,00:37:19
Ramona Sarmasan,Women,00:37:20
Vlad Campian,Men,00:37:20
Ioan Groza Marius,Men,00:37:24
Roberta Petrus,Women,00:37:25
Septimiu Haiduc,Men,00:37:28
Agnes Gered,Women,00:37:29
Cristian Nicolae Nicoara,Men,00:37:29
Alexandru Nagy,Men,00:37:30
Cristian Campean,Men,00:37:32
Alexandru Vatamaniuc-Bartha,Men,00:37:32
Alexandru Ioan Voinica,Men,00:37:34
Cosmin Jibu,Men,00:37:34
Daniela Loredana Florea,Women,00:37:34
Daniel Budusan,Men,00:37:36
Florin Emil Pop,Men,00:37:36
Anamaria Ciobanu,Women,00:37:36
Radu-Ioan Cojocneanu,Men,00:37:37
Gheorghe Petrovan,Men,00:37:39
Radu Stefan,Men,00:37:39
Florentin Copaciu,Men,00:37:40
Andreea Kovacs,Women,00:37:41
Ivan-Sandor Matyus,Men,00:37:41
Andrei Ionitoaia,Men,00:37:41
Georgiana Blaga,Women,00:37:41
Paul-Gabriel Cosma,Men,00:37:42
Lilia Enachi,Women,00:37:42
Mirabela Kiss,Women,00:37:42
Cristi Badea,Men,00:37:43
Henriete Beiland,Women,00:37:45
Adriana Ciupe,Women,00:37:45
Bogdan Popa,Men,00:37:45
Istvan Matis,Men,00:37:46
Barbara Banto,Women,00:37:47
Doru Parvan,Men,00:37:48
Alina Bud,Women,00:37:49
Adrian Toth,Men,00:37:50
Ionut Suta,Men,00:37:51
Jozsef Pasztor,Men,00:37:52
Marin Marginean,Men,00:37:55
Adrian Ilinca,Men,00:37:55
Bogdan Duca,Men,00:37:56
Damian Pipivo,Men,00:37:56
Bogya Jana,Men,00:37:56
Olimpiu Stretea,Men,00:37:56
Valentin Nistor,Men,00:37:57
Ciprian Borza,Men,00:38:02
Monica-Florina Surdu,Women,00:38:02
Virgil Bratu,Men,00:38:02
Alex Cotarla,Men,00:38:02
Ana - Maria Danila,Women,00:38:05
Andrada Domnita,Women,00:38:06
Claudiu Dumitras,Men,00:38:07
Alina Cristea,Women,00:38:07
Karina Moldovan,Women,00:38:08
Cristina Dobos,Women,00:38:09
Viorel-Vlad Popa,Men,00:38:10
Stefan Fodor,Men,00:38:10
Anca Serban,Men,00:38:10
Laurentiu Cindea,Men,00:38:11
Gheorghe Balla,Men,00:38:11
Alin David,Men,00:38:16
Kinga Farkas,Women,00:38:16
Gergö Zoltan Fabian,Men,00:38:18
Mihai Gabriel Roba,Men,00:38:19
Claudia Ivascu,Women,00:38:20
Ken Rogers,Men,00:38:20
Adrian Pop,Men,00:38:20
Alexandru Brad,Men,00:38:20
Mihai Homan,Men,00:38:21
Voicu Tibea,Men,00:38:21
Adrian Sirbe,Men,00:38:22
Bogdan Chicinas,Men,00:38:22
Horatiu Florea,Men,00:38:23
