name,category,time
Andrei Crainic,Masculin,30:43
Andrei Vatca,Masculin,31:19
Claudiu Gorgan,Masculin,33:03
Bogdan Moldovan,Masculin,34:48
Victor Fatu,Masculin,35:01
Marius Mit,Masculin,35:11
Florin Comsa,Masculin,35:28
Andras Szigmond,Masculin,36:34
Vlad Sancraian,Masculin,37:09
Adrian Neag,Masculin,37:49
Csaba Sebestyen,Masculin,37:50
Zsolt Langviser,Masculin,37:50
Sandor Csaba Papp,Masculin,38:18
Ovidiu Negus,Masculin,38:20
Ioana Mica,Feminin,38:38
Attila Rudics,Masculin,38:38
Iuliu Zahan,Masculin,39:11
Maria Marinescu,Feminin,39:22
Sebastian Moldovan,Masculin,39:22
Doru Crisan,Masculin,39:31
Lorenzo Eusebiu Patras,Masculin,39:58
Daniel Szatmari,Masculin,40:00
Radu Vadan,Masculin,40:03
Cristian Vancea,Masculin,40:14
Szilard Szekely,Masculin,40:15
Ady Beleanu,Masculin,40:15
Dan Grigore Crisan,Masculin,40:31
Dan Dascal,Masculin,40:34
Petru Daniel Tripon,Masculin,40:47
Mihai Surdeanu,Masculin,40:54
Istvan Zsigmond,Masculin,41:00
Radu Cozma,Masculin,41:04
Cristian Scuturici,Masculin,41:05
Ibolya Torok,Feminin,41:11
Alexandru Login,Masculin,41:11
Calin Drule,Masculin,41:12
Andrei Boanda,Masculin,41:30
Antonio Suciu,Masculin,41:50
Cristian Lazar,Masculin,42:19
Bogdan Iliesu,Masculin,42:37
Ciprian Goia,Masculin,42:41
Paul Romulus Resiga,Masculin,42:47
Monica Sandor,Feminin,42:54
Adrian Fita,Masculin,42:56
Lucian Valea,Masculin,43:13
Dachin Nicolae Beu,Masculin,43:22
Botond Lakzko-Albert,Masculin,43:34
Istvan Neda,Masculin,43:43
Ionut Bogdan Golban,Masculin,43:47
Mircea Pop,Masculin,44:01
Mariana Pop,Feminin,44:06
Robert Sicoie,Masculin,44:06
Marius Bob,Masculin,44:09
Andrei Alexandru Moldovan,Masculin,44:28
Andrei-Ionut Birtocean,Masculin,44:28
Dan Barb,Masculin,44:30
Valentin Zaharia,Masculin,44:44
Pastiu Horatiu Andrei Tatar,Masculin,44:46
Andras Simon,Masculin,44:57
Mihai Pop,Masculin,45:02
Bogdan Trandafir,Masculin,45:20
Augusta Pop,Feminin,45:22
Lilian Oleinic,Masculin,45:22
Tibor Bone,Masculin,45:30
Adriana Neagu,Feminin,45:49
Ovidiu Lucaci,Masculin,46:00
Marius Codrea,Masculin,46:04
Razvan Neamtu,Masculin,46:05
Nicu Bordea,Masculin,46:14
Imre Miko,Masculin,46:28
Claudiu Mada,Masculin,46:30
Ioana Pop,Feminin,46:31
Josef Kuszalik,Masculin,46:32
Bettina Kristine Binder,Feminin,46:33
Ioan Monoses,Masculin,46:39
Demeter Norbert,Masculin,46:52
Daniel Codarcea,Masculin,46:53
Mihai Anghel,Masculin,47:01
Mihai Popa,Masculin,47:02
Cristian-Viorel Birtocean,Masculin,47:09
Vlad Matis,Masculin,47:09
Alexandra Dumitrica,Feminin,47:12
Peter Dragomir,Masculin,47:15
Constantin Partac,Masculin,47:16
Peter Virag,Masculin,47:23
Lucian Ciufudean,Masculin,48:01
Stelian Galmati,Masculin,48:02
Florin Costea,Masculin,48:06
Zoltan Szasz,Masculin,48:49
George Jiglau,Masculin,48:50
Sipos Sandor Zolta Szekely,Masculin,48:52
Alin Grama,Masculin,48:58
Istvan Hoka,Masculin,49:03
Ioan Tiberiu Vidican,Masculin,49:18
Alexandru Schwartz,Masculin,49:18
Mirel Todor,Masculin,50:02
Lorand Boyte,Masculin,50:03
Florin Iurian,Masculin,50:04
Istvan Doka,Masculin,50:19
Florin Rares Sava,Masculin,50:31
Lea Urs,Feminin,50:50
Florin Chircu,Masculin,50:50
Ovidiu Litan,Masculin,50:59
Andreea Bugja,Feminin,51:24
Rares Barb,Masculin,51:41
Ludmila Rosca,Feminin,51:44
Ladislau Batinas,Masculin,51:44
Boglar Boer,Feminin,52:08
Catalina Bogdan,Feminin,52:11
Radu Marincean,Masculin,52:23
Lorincz Agnes Kiss,Feminin,52:39
Ciprian Ceteras,Masculin,52:44
Ana Loredana Pascaru,Feminin,52:56
Diana Chinces,Feminin,53:08
Bogdan Mihalache,Masculin,53:09
Meeuwes Buiten,Masculin,53:19
Corina Dolha,Feminin,53:30
Alexandru Josan,Masculin,53:54
Bucur Ruxandra Nastase,Feminin,54:16
Laura Morar,Feminin,55:09
Zoltan Kertesz,Masculin,55:24
Florina Seliceanu,Feminin,55:41
Manuela Puscas,Feminin,55:50
Ioana Misaras,Feminin,55:51
Ligia Bob,Feminin,56:02
Edit Szocs,Feminin,56:06
Ioana Dobos,Feminin,56:21
Laura Munteanu,Feminin,56:54
Cristina Moldovan,Feminin,57:09
Crisan Miron,Masculin,57:35
Ildiko Esztergar,Feminin,58:01
Andreea Varga,Feminin,58:06
Aurelian Cotuna,Masculin,01:04:19
Dragos Maldarasan,Masculin,01:07:05
Raluca Moisi,Feminin,01:08:47
Erika Zsigmond,Feminin,01:15:09
Beata Laszlo,Feminin,01:15:09
