name,category,time
Artur Miklos,Masculin,0:35:53
Victor Fatu,Masculin,0:36:51
Iuliu Grec,Masculin,0:37:09
Bogdan Moldovan,Masculin,0:38:36
Narcis Badea,Masculin,0:40:15
Mihai Ungur,Masculin,0:40:16
Laura Diana Popescu,Feminin,0:40:21
Cristian Haganut,Masculin,0:40:40
Zsolt Langviser,Masculin,0:41:09
Suciaghi Robert,Masculin,0:41:15
Horatiu Neamtu,Masculin,0:41:49
Ingrid Mutter,Feminin,0:42:16
Sorin Hosu,Masculin,0:42:25
Cristian Lazar,Masculin,0:42:47
Radu Vadan,Masculin,0:42:52
Doru Crisan,Masculin,0:43:13
Nicolae Andreica,Masculin,0:43:38
Gupta Arun,Masculin,0:44:13
Eduard Robert Klocek,Masculin,0:44:34
Zoltan Matyas,Masculin,0:44:36
Catalin Andrei,Masculin,0:44:41
Lapusan Tudor,Masculin,0:44:51
Sandor Tonk,Masculin,0:44:55
Carzon Radu,Masculin,0:45:21
Dan Grigore Crisan,Masculin,0:45:26
Jeno Nagy,Masculin,0:45:46
Lucian Mangu,Masculin,0:45:48
Radu Bochis,Masculin,0:45:58
Iulia Blajan,Feminin,0:45:58
Vadan Adrian,Masculin,0:46:13
Radu Florin Kis,Masculin,0:46:18
Popa Mihai,Masculin,0:46:36
Sanek Tiberiu,Masculin,0:46:53
Gabriel Tulbure,Masculin,0:47:13
Daniel Mihaescu,Masculin,0:47:38
Adrian Dorin Curta,Masculin,0:47:47
Daniel Tripon,Masculin,0:47:50
Dorca Vasile,Masculin,0:48:00
Stoenescu Alexandru,Masculin,0:48:06
Buza Cosmin,Masculin,0:48:07
Marius Bob,Masculin,0:48:20
Radu Bulubasa,Masculin,0:48:21
Tudor Pop,Masculin,0:48:22
Hruban Bogdan,Masculin,0:48:30
Roxana Nagy,Feminin,0:48:31
Alexandru Moldovan,Masculin,0:48:33
Cristian Soimusan,Masculin,0:48:35
Szilard Somogyi,Masculin,0:48:36
Mihai Rotar,Masculin,0:48:37
Radu Cristian Lapusan,Masculin,0:48:42
Hunor Csomortani,Masculin,0:48:58
George Stanciu,Masculin,0:49:02
Robert Tokes,Masculin,0:49:13
Mircea-Florean Pop,Masculin,0:49:15
Lucian Ciufudean,Masculin,0:49:25
Codrea Marius,Masculin,0:49:29
Imre Miko,Masculin,0:49:30
Alin Marius Grama,Masculin,0:49:31
Anca Toiu,Feminin,0:49:32
Mihai Babici,Masculin,0:49:43
Alin Reus,Masculin,0:50:10
Moisil Vasile,Masculin,0:50:11
Bogdan Kocz,Masculin,0:50:13
Istvan Nagy,Masculin,0:50:16
Lorand Vassy,Masculin,0:50:28
Farcas Axel,Masculin,0:50:30
Kinga Pallos,Feminin,0:50:34
Benovsky Roman,Masculin,0:50:38
Dragos Catalin Ungur,Masculin,0:50:40
Stefan Nicolae Vinasi,Masculin,0:50:47
Cosmin Salagean,Masculin,0:50:51
Cocian Radu,Masculin,0:51:00
Sahleanu Raluca,Feminin,0:51:05
Neagu Adriana,Feminin,0:51:06
Bodea Voichita,Feminin,0:51:07
Eva Kocsis,Feminin,0:51:07
Carmen Gatina,Feminin,0:51:44
Attila Magyari,Masculin,0:51:46
Ovidiu Cucerzan,Masculin,0:51:54
Florin Chircu,Masculin,0:51:55
Smaranda Onutu,Feminin,0:51:56
Stupinean Ionela,Feminin,0:52:12
Mircea Lascau,Masculin,0:52:19
Tibor Kiss,Masculin,0:52:31
Stefana Cristina Pop,Feminin,0:52:31
Alexandru Teiosanu,Masculin,0:52:36
