name,category,time
Ionu? Marius Dumitru,Masculin,33:30
Viorel Tams,Masculin,33:45
Nicolae Balan,Masculin,34:07
Szabolcs-Istvan Gyorgy,Masculin,34:11
Andrei Marius Crainic,Masculin,35:03
Gruia David Luca,Masculin,36:12
Iuliu-Victor Grec,Masculin,37:21
Cristian Pop,Masculin,37:28
Adrian Costea,Masculin,38:40
Florin Ciufudean,Masculin,38:41
Mutter Ingrid,Feminin,38:46
Peter Grezer,Masculin,39:05
Ciprian Cioba,Masculin,40:04
Csaba Bogdan,Masculin,40:41
Sebastian Dohotariu,Masculin,40:43
IULIA MELINDA ZUDOR,Feminin,40:48
Etele-Á-kos Birtalan,Masculin,40:53
Tudor Sofron,Masculin,41:02
Alexandru Ivanov,Masculin,41:39
Cristian Losonczi,Masculin,41:42
STEFAN SALAGEAN,Masculin,41:49
Cristian Lazar,Masculin,41:52
Bogdan Demian,Masculin,42:03
Cornel Miron,Masculin,42:05
Peter Balazs,Masculin,42:34
Mihai Ungur,Masculin,42:37
Catalin Robu,Masculin,42:49
Petre Mitru,Masculin,42:55
Elisei Miron,Masculin,43:04
Mihnea Turcu,Masculin,43:13
Imre Bone,Masculin,43:21
Cristian Teodor Suciu,Masculin,43:24
Calin Muresan,Masculin,43:26
Csaba Dezso,Masculin,43:29
Zsolt Csollany,Masculin,43:51
Daniel Toniuc,Masculin,43:54
Sergiu Pop,Masculin,43:55
Valeria Alina Rusu,Feminin,44:00
Christian Horvath,Masculin,44:00
Adrian Ciuchina,Masculin,44:07
Radu Bulubasa,Masculin,44:08
Horatiu Tatar Pastiu,Masculin,44:23
stelian suatean,Masculin,44:26
Ioan Chindris,Masculin,44:31
Mihai Pantis,Masculin,44:32
Iona Hrap?a,Masculin,44:42
Cristian Amza,Masculin,44:48
Andrei Gaz,Masculin,44:54
Alin Voicu,Masculin,45:01
Romulus-Gabriel Pana,Masculin,45:06
Alina-Luciana MOLDOVAN,Feminin,45:18
RAFIK DERRIDJ,Masculin,45:30
Alexandru Rebrean,Masculin,45:31
Marius Horatiu Bob,Masculin,45:33
Diana Sipos,Feminin,45:34
Stefan Vinasi,Masculin,45:37
Catalin Moldovan,Masculin,45:38
Aurelian Cotuna,Masculin,45:52
Laszlo Lukacs,Masculin,46:03
Alin Kollar,Masculin,46:06
Cornel Urian,Masculin,46:13
Objelean Alex,Masculin,46:14
Gustav Robert Mircea,Masculin,46:16
Octavian Vladut,Masculin,46:19
George Petrehus,Masculin,46:24
Prieto Daniel,Masculin,46:52
Roland Szocs,Masculin,47:00
Adrian Dorin Curta,Masculin,47:01
Ioan Nicoara,Masculin,47:03
Marius Serbanescu,Masculin,47:08
Zsolt Mihalydeakpal,Masculin,47:11
Alexa Boga,Masculin,47:11
Marius Ioan Groza,Masculin,47:14
Sandor Zolta Szekely Sipos,Masculin,47:21
Calin Vaipan,Masculin,47:21
Calin Halmaciu,Masculin,47:22
Szilard Veres,Masculin,47:25
Cosmin Rusu,Masculin,47:26
Cristian Bodea,Masculin,47:28
Raul Giurgiu,Masculin,47:28
Vajk Benedek,Masculin,47:28
Rares Rusu,Masculin,47:29
IULIAN CORUNGA,Masculin,47:33
Brandon Kurtinecz,Masculin,47:39
Catalin Gainar,Masculin,47:51
Stefan daniel Muresan,Masculin,47:53
Robert Simon,Masculin,47:54
Lucian Fokt,Masculin,47:55
Calin Cudrec,Masculin,47:55
George TOBA,Masculin,47:58
Alexandru Moldovan,Masculin,47:59
Cristina Rus,Feminin,48:05
Roland Tirdea,Masculin,48:05
Cristian stefan Oltean,Masculin,48:11
Sergiu Barbu,Masculin,48:16
Daniel Mihai,Masculin,48:20
Laura Flageul,Feminin,48:22
Radu Calin Calin,Masculin,48:29
Sorin Duma,Masculin,48:32
Cristian Apetri,Masculin,48:33
Andrei-Dorel Coblisan,Masculin,48:34
Tihamer Jozsa,Masculin,48:35
Harold Dako,Masculin,48:39
Ioan Pintea,Masculin,48:46
Dragos Rus,Masculin,48:49
Mihai Tudor Oprea,Masculin,48:50
Dan Revitea,Masculin,48:51
Catalin Dragoi,Masculin,48:52
Laszlo Horvath,Masculin,48:57
Guilhem Nicolau,Masculin,49:01
Gyongyi Sandor,Feminin,49:04
Daniel Timis,Masculin,49:06
Constantin Petra,Masculin,49:10
Bogdan Chisu,Masculin,49:16
Daniel Tabarcea,Masculin,49:17
Timea Racz,Feminin,49:19
Istvan Neda,Masculin,49:19
Tania STAN,Feminin,49:20
Norbert Juga,Masculin,49:23
PETRA NATALIA TOMI,Feminin,49:27
Bogdan Iusco,Masculin,49:27
Larisa Buchiurca,Feminin,49:28
Alin Grama,Masculin,49:30
Adrian Cristian Ardelean,Masculin,49:54
Marius Olar-Pop,Masculin,49:57
Silviu Marian Curuciuc,Masculin,50:11
Razvan Enache,Masculin,50:12
Bogdan Ciceu,Masculin,50:14
Paul Veres,Masculin,50:17
Daniela Avram,Feminin,50:20
Daniel Laslau,Masculin,50:28
claudiu ioan campeanu,Masculin,50:29
Csilla Rá-cz,Feminin,50:30
Salome Bondor,Feminin,50:34
Ovidiu Dimbean,Masculin,50:34
Carmen Ungur,Feminin,50:35
Adrian Lonca,Masculin,50:37
Stefan Huber,Masculin,50:43
Ignacio Arroyo (Holcim),Masculin,50:44
Robert Albert,Masculin,50:49
Bianca Cheteles,Feminin,50:58
Dorin Roibu,Masculin,51:03
Mircea Teodor Oltean,Masculin,51:03
Grigore Brad,Masculin,51:04
