Place,name,category,time
1,Crainic Andrei-Marius,M,35:17.72
2,Slovak Ianco,M,36:20.15
3,TIMIS GELU-VIOREL,M,36:54.24
4,Cristian Tudor,M,37:05.17
5,Pestean Natanael,M,37:21.42
6,Paul Harsan,M,37:41.53
7,Baban Andrei,M,38:05.09
8,Papp Csaba,M,38:57.95
9,Mitru Petre,M,39:45.88
10,Neamtu Horatiu,M,39:53.25
11,Sergiu Dascal,M,40:07.12
12,Hent Marius Gabriel,M,40:18.56
13,Iaz George-Razvan,M,40:21.41
14,Ilie-Ene Alexandru,M,40:26.84
15,Petruța Nicolae,M,40:37.19
16,Raducu Rares,M,40:42.76
17,Gál Attila,M,40:45.10
18,Ciufudean Florin,M,40:52.87
19,Savu Tiberius- Paul,M,41:07.16
20,Keresztes Andras,M,41:46.57
21,Moraru Dragos,M,41:51.78
22,Gergely Balázs,M,41:54.04
23,Kelemen Zoltán,M,42:02.13
24,Tala Bogdan,M,42:09.31
25,Achimescu Valerian,M,42:09.92
26,Rudics Attila,M,42:11.84
27,Barta Andrei,M,42:28.37
28,Cotuna Aurelian,M,42:37.12
29,Stupar Raul,M,42:39.15
30,Golban Ionut,M,42:51.93
31,Vitályos Zsolt,M,43:03.22
1,Nagy Roxana,F,43:05.16
32,Filip Sergiu,M,43:15.17
33,Remus Cireasa,M,43:15.89
34,Józsa Tihamér,M,43:22.72
35,Bulubasa Radu,M,43:31.92
36,Apetri Cristian,M,43:32.09
37,Szocs Roland,M,43:40.99
38,Țâmpu Vlad-Eduard,M,43:46.41
39,Sebestyen Csaba,M,43:54.59
40,Retegan Virgil,M,43:59.88
41,Focsa Alexandru,M,44:05.77
42,Cosma Adrian,M,44:12.72
43,Tala Lucian,M,44:13.26
44,Haran Traian Silviu,M,44:17.02
45,Laszlo Peter Roland,M,44:29.32
46,Brysse Bart,M,44:31.79
47,Bolboaca Vlad,M,44:37.22
48,Gavril Kiss,M,44:37.93
49,Lazar Cristian,M,44:38.29
50,Kerekes Francisc,M,44:45.83
51,Simonescu Colan Vlad,M,44:46.30
2,Rusu Valeria Alina,F,44:48.57
52,Martonos Csaba,M,44:53.49
3,Jozsa Timea,F,44:58.40
53,Muresan Calin,M,45:07.89
54,Tomescu Mihai-Adrian,M,45:10.75
55,Amza Cristian,M,45:11.36
56,Gondosch Bogdan,M,45:13.97
57,Mark Laszlo,M,45:46.29
58,SANDOR SZABOLCS,M,45:48.73
59,Cocota Dan Cristian,M,46:02.25
60,Incze Bordi Bence,M,46:06.17
61,Lung Laurentiu,M,46:15.17
62,Lucut Radu,M,46:27.91
63,Lupean Sergiu,M,46:27.91
64,Hurdugaci Claudiu,M,46:29.93
65,Butka Tamas,M,46:31.12
66,Tunyogi Ferencz,M,46:49.06
67,Cublesan Paul,M,46:53.10
68,Drule Calin,M,46:56.91
69,Sandor Bogdan,M,46:58.56
4,Reghini Camelia,F,46:58.94
70,Bota Cristian,M,47:04.10
71,Pintican Marius,M,47:06.58
72,Daradics Zsolt,M,47:21.72
73,Gundisch Zoltan,M,47:25.17
74,Cosma Dan,M,47:26.28
75,Maris Florin,M,47:28.12
76,Hirsch Johannes,M,47:54.16
5,Paula Onutan,F,47:56.40
77,Nitoiu Cristian,M,47:58.47
78,Spinu Cornel,M,47:59.90
79,Andrei Tura,M,48:03.21
6,Tarau Oana,F,48:03.31
80,Rus Dan,M,48:05.60
81,Dumitru Cristian-Ioan,M,48:10.96
82,Tura Paul,M,48:14.92
83,Peredi Cosmin,M,48:18.85
84,Birau Alin,M,48:19.97
85,Veres Andrei,M,48:21.04
86,kollar alin,M,48:21.25
87,Todut Traian,M,48:22.54
88,Campean Mihai,M,48:22.61
89,Ungurean Andrei,M,48:28.43
7,Mititelu Simona,F,48:32.37
90,FRIEDRICH ZOLTAN,M,48:34.71
91,Bogdan Razvan,M,48:38.42
92,Iordache Sorin,M,48:39.37
93,BENEDEK-RAPOLTI VAJK,M,48:41.63
94,Sebi Bence,M,48:42.66
95,Sebi Andras,M,48:43.94
96,Budacă Adrian,M,48:44.91
